city,male_1_attempt,male_1_attempt_passes,male_pass_rate,male_zero_fault,female_1_attempt,female_1_attempt_passes,female_pass_rate,female_zero_fault,total_1_attempt,total_1_attempt_passes,total_pass_rate,total_zero_fault,,
Watnall,1179,616,52.2,21,1424,674,47.3,15,2603,1290,49.6,36,,
Wednesbury,1359,572,42.1,9,1176,367,31.2,9,2535,939,37.0,18,,
Weedon LGV,..,..,..,0,..,..,..,0,..,..,..,0,,
Wellingborough,305,209,68.5,7,453,255,56.3,14,758,464,61.2,21,,
West Didsbury (Manchester),2770,1338,48.3,34,2924,1224,41.9,33,5694,2562,45.0,67,,
West Wickham (London),2392,1265,52.9,58,2623,1160,44.2,49,5015,2425,48.4,107,,
Westbury,311,146,46.9,8,374,190,50.8,3,685,336,49.1,11,,
Weston-super-Mare,1013,602,59.4,41,1135,571,50.3,31,2148,1173,54.6,72,,
Whitby,161,116,72.0,7,145,85,58.6,6,306,201,65.7,13,,
Whitchurch,315,144,45.7,0,371,183,49.3,3,686,327,47.7,3,,
Wick,98,57,58.2,3,83,44,53.0,1,181,101,55.8,4,,
Widnes,878,419,47.7,3,876,305,34.8,2,1754,724,41.3,5,,
Winchester,810,453,55.9,42,890,423,47.5,30,1700,876,51.5,72,,
Wolverhampton,1647,638,38.7,34,1669,519,31.1,15,3316,1157,34.9,49,,
Wood Green (London),1511,690,45.7,13,1564,516,33.0,2,3075,1206,39.2,15,,
Worcester,1769,855,48.3,7,1837,833,45.3,6,3606,1688,46.8,13,,
Workington,652,360,55.2,0,697,306,43.9,0,1349,666,49.4,0,,
Worksop,1019,631,61.9,32,1108,568,51.3,18,2127,1199,56.4,50,,
Wrexham,828,330,39.9,0,809,270,33.4,0,1637,600,36.7,0,,
Yeading (London),44,20,45.5,0,11,7,63.6,0,55,27,49.1,0,,
Yeovil,1434,941,65.6,29,1441,860,59.7,18,2875,1801,62.6,47,,
York,1592,911,57.2,46,1798,918,51.1,43,3390,1829,54.0,89,,
Z Cambridge (Cowley Road),650,350,53.8,6,715,354,49.5,2,1365,704,51.6,8,,
Z Club Langley(Bromley),909,381,41.9,11,1042,356,34.2,5,1951,737,37.8,16,,
ZBarking (Town Quay),753,303,40.2,7,527,151,28.7,3,1280,454,35.5,10,,
ZChelmsford (Hoffmans Way),485,200,41.2,2,475,178,37.5,3,960,378,39.4,5,,
ZGarston (Speke - Crowne Plaza),142,64,45.1,0,154,54,35.1,0,296,118,39.9,0,,
ZInverness (Cradlehall Business Park),464,227,48.9,5,434,198,45.6,4,898,425,47.3,9,,
ZPontypridd,276,138,50.0,7,318,154,48.4,4,594,292,49.2,11,,
zBristol (Southmead),1035,551,53.2,15,1089,510,46.8,6,2124,1061,50.0,21,,
National Totals,364371,183271,50.3,6020,368795,158122,42.9,4227,733167,341394,46.6,10247,,
