city,male_1_attempt,male_1_attempt_passes,male_pass_rate,male_zero_fault,female_1_attempt,female_1_attempt_passes,female_pass_rate,female_zero_fault,total_1_attempt,total_1_attempt_passes,total_pass_rate,total_zero_fault,,
ZBLAIRGOWRIE (CLOSED),84,53,63.1,2,113,60,53.1,5,197,113,57.4,7,,
ZBarry,646,314,48.6,1,553,241,43.6,0,"1,199",555,46.3,1,,
ZBexleyheath,489,251,51.3,2,491,214,43.6,1,980,465,47.4,3,,
ZBirmingham (Washwood Heath) CLOSED,"1,241",531,42.8,4,"1,324",432,32.6,1,"2,565",963,37.5,5,,
ZBishop Auckland (CLOSED),809,478,59.1,6,792,399,50.4,4,"1,601",877,54.8,10,,
ZBradford (Eccleshill)(CLOSED),"1,712",666,38.9,2,"1,641",486,29.6,1,"3,353","1,152",34.4,3,,
ZBrighton,732,338,46.2,9,793,326,41.1,1,"1,525",664,43.5,10,,
ZBristol (St George),"1,114",566,50.8,8,"1,111",495,44.6,1,"2,225","1,060",47.6,9,,
ZBroadstairs (Thanet),741,357,48.2,0,770,337,43.8,0,"1,511",694,45.9,0,,
ZBurton-On-Trent (CLOSED),332,132,39.8,0,332,122,36.7,0,664,254,38.3,0,,
ZCarlisle,469,273,58.2,5,519,276,53.2,0,988,548,55.5,5,,
ZChester,460,193,42.0,0,369,150,40.7,1,830,343,41.3,1,,
ZColwyn Bay,348,148,42.5,0,377,153,40.6,1,726,301,41.5,1,,
ZCongleton(CLOSED),432,239,55.3,4,466,222,47.6,7,898,461,51.3,11,,
ZCupar (closed),169,109,64.5,4,222,123,55.4,2,391,232,59.3,6,,
ZDorchester,"1,644",984,59.9,12,"1,729",977,56.5,7,"3,373","1,961",58.1,19,,
ZDundee(CLOSED),"1,070",567,53.0,12,"1,036",450,43.4,8,"2,110","1,019",48.3,20,,
ZDurham (CLOSED),"1,154",630,54.6,6,"1,367",619,45.3,3,"2,521","1,248",49.5,9,,
ZFarnborough (Aldershot) (CLOSED),"1,845","1,003",54.4,42,"1,716",841,49.0,30,"3,561","1,844",51.8,72,,
ZGravesend,"1,492",728,48.8,8,"1,525",654,42.9,2,"3,017","1,382",45.8,10,,
ZGreenford (Ruislip Road) (Closed),"1,015",472,46.5,12,918,343,37.4,3,"1,934",816,42.2,15,,
ZHarrogate (Closed),"1,196",656,54.8,0,"1,023",484,47.3,0,"2,219","1,140",51.4,0,,
ZHaverfordwest L + LGV (CLOSED),434,225,51.8,5,429,211,49.2,0,866,438,50.6,5,,
ZHerne Bay,708,297,41.9,6,775,259,33.4,3,"1,484",556,37.5,9,,
ZHolyhead (Kingsland Road),9,5,55.6,1,27,15,55.6,0,36,20,55.6,1,,
ZHove,"1,024",453,44.2,1,946,319,33.7,1,"1,970",772,39.2,2,,
ZKeighley (CLOSED),706,359,50.8,1,666,263,39.5,1,"1,372",622,45.3,2,,
ZKidderminster (CLOSED),"1,742",877,50.3,1,"1,711",793,46.3,2,"3,453","1,670",48.4,3,,
ZKilmarnock,484,216,44.6,0,516,190,36.8,0,"1,000",406,40.6,0,,
ZKings Lynn (Closed),301,156,51.8,2,279,126,45.2,1,580,282,48.6,3,,
ZKirkcaldy * (closed),393,207,52.7,1,371,165,44.5,0,764,372,48.7,1,,
ZLeicester (Welford Road) (CLOSED),"1,437",742,51.6,2,"1,446",603,41.7,3,"2,883","1,344",46.6,5,,
ZLincoln *,583,297,50.9,2,656,310,47.3,0,"1,239",607,49.0,2,,
ZLouth (closed),320,174,54.4,2,263,129,49.0,0,583,303,52.0,2,,
ZMold(CLOSED),919,353,38.4,3,930,352,37.8,7,"1,849",705,38.1,10,,
ZNottingham (Gedling) *,415,203,48.9,2,445,180,40.4,0,860,383,44.5,2,,
ZNottingham (West Bridgford) *,417,184,44.1,2,355,131,36.9,1,772,315,40.8,3,,
ZPeterborough (closed),635,359,56.5,0,622,273,43.9,1,"1,257",632,50.3,1,,
ZPlymouth (CLOSED),"1,930",851,44.1,2,"1,857",769,41.4,0,"3,787","1,619",42.8,2,,
ZReddish (NORTHERN)(CLOSED),"1,888",972,51.5,4,"1,931",878,45.5,3,"3,820","1,850",48.4,7,,
ZSTONEHAVEN (CLOSED),170,121,71.2,7,149,93,62.4,6,319,214,67.1,13,,
ZSaltcoats,724,395,54.6,7,720,370,51.4,5,"1,444",765,53.0,12,,
ZSheffield (Handsworth)(CLOSED),"2,244","1,194",53.2,12,"2,012",870,43.2,8,"4,256","2,062",48.4,20,,
ZSouthall(closed),"1,576",653,41.4,7,"1,220",402,33.0,4,"2,796","1,053",37.7,11,,
ZSouthend-on-Sea (CLOSED),"1,358",519,38.2,0,"1,434",453,31.6,1,"2,793",973,34.8,1,,
ZSpalding (CLOSED),209,119,56.9,4,217,95,43.8,1,426,214,50.2,5,,
ZSt Helens (CLOSED),87,47,54.0,1,77,30,39.0,0,164,77,47.0,1,,
ZSutton_In_Ashfield (CLOSED),"1,919","1,062",55.3,3,"2,024","1,049",51.8,4,"3,943","2,111",53.5,7,,
ZTaunton,"1,502",912,60.7,11,"1,566",839,53.6,3,"3,068","1,751",57.1,14,,
ZWakefield (Closed),"1,304",683,52.4,6,"1,236",523,42.3,4,"2,540","1,206",47.5,10,,
ZWallington (Mint House) (CLOSED),"1,443",732,50.7,8,"1,193",541,45.3,2,"2,636","1,273",48.3,10,,
ZWarrington,660,351,53.2,4,755,323,42.8,1,"1,415",674,47.6,5,,
ZWellingborough (closed),490,279,56.9,5,509,203,39.9,4,999,482,48.2,9,,
ZWhalley Range-Manchester(Closed),"3,001","1,374",45.8,0,"2,560",964,37.7,0,"5,566","2,339",42.0,0,,
ZWisbech,435,228,52.4,5,467,223,47.8,4,902,451,50.0,9,,
ZWolverhampton,"2,436","1,334",54.8,12,"2,623","1,124",42.9,8,"5,060","2,458",48.6,20,,
z Gosport(Closed),798,418,52.4,3,809,352,43.5,0,"1,607",770,47.9,3,,
z Hendon (closed),"2,670","1,187",44.5,16,"2,381",923,38.8,8,"5,051","2,108",41.7,24,,
z Norwich (Jupiter Rd Midlands and Eastern) closed,"2,349","1,255",53.4,12,"2,470","1,114",45.1,10,"4,820","2,367",49.1,22,,
z Swindon (closed),"1,535",724,47.2,1,"1,504",581,38.6,1,"3,040","1,305",42.9,2,,
zBangor,785,392,49.9,9,774,315,40.7,2,"1,560",708,45.4,11,,
zBlackburn,"1,914",978,51.1,5,"1,906",735,38.6,4,"3,822","1,713",44.8,9,,
zMerthyr Tydfil,"1,072",601,56.1,1,"1,028",521,50.7,1,"2,100","1,122",53.4,2,,
zSwansea,"1,840",963,52.3,6,"1,872",853,45.6,3,"3,714","1,815",48.9,9,,
zWigan,"1,937",948,48.9,8,"1,920",853,44.4,2,"3,858","1,802",46.7,10,,
National Totals,"389,596","189,768",48.7,"2,648","372,261","155,555",41.8,"2,125","762,067","345,411",45.3,"4,773",,
