city,male_1_attempt,male_1_attempt_passes,male_pass_rate,male_zero_fault,female_1_attempt,female_1_attempt_passes,female_pass_rate,female_zero_fault,total_1_attempt,total_1_attempt_passes,total_pass_rate,total_zero_fault,,,,,,,,,,,,,,,,,,,,
Rotherham,1911,1034,54.1,69,1525,717,47.0,40,3436,1751,51.0,109,,,,,,,,,,,,,,,,,,,,
Rothesay,34,22,64.7,2,34,19,55.9,0,68,41,60.3,2,,,,,,,,,,,,,,,,,,,,
Rugby,1248,540,43.3,34,1140,522,45.8,34,2388,1062,44.5,68,,,,,,,,,,,,,,,,,,,,
Sale (Manchester),2721,1377,50.6,84,2218,1041,46.9,64,4939,2418,49.0,148,,,,,,,,,,,,,,,,,,,,
Salisbury,1180,665,56.4,102,1135,668,58.9,95,2315,1333,57.6,197,,,,,,,,,,,,,,,,,,,,
Scarborough,665,353,53.1,10,558,268,48.0,9,1223,621,50.8,19,,,,,,,,,,,,,,,,,,,,
Scunthorpe,1602,661,41.3,20,1279,509,39.8,18,2881,1170,40.6,38,,,,,,,,,,,,,,,,,,,,
Sevenoaks,1374,656,47.7,38,1353,649,48.0,29,2727,1305,47.9,67,,,,,,,,,,,,,,,,,,,,
Sheffield (Handsworth),2809,1369,48.7,63,2033,890,43.8,23,4842,2259,46.7,86,,,,,,,,,,,,,,,,,,,,
Sheffield (Middlewood Road),2338,1082,46.3,28,2066,877,42.4,29,4404,1959,44.5,57,,,,,,,,,,,,,,,,,,,,
Shrewsbury,1413,737,52.2,27,1158,579,50.0,22,2571,1316,51.2,49,,,,,,,,,,,,,,,,,,,,
Sidcup (London),3515,2092,59.5,174,2684,1453,54.1,136,6199,3545,57.2,310,,,,,,,,,,,,,,,,,,,,
Skegness,351,219,62.4,3,368,220,59.8,7,719,439,61.1,10,,,,,,,,,,,,,,,,,,,,
Skipton,815,436,53.5,13,763,372,48.8,12,1578,808,51.2,25,,,,,,,,,,,,,,,,,,,,
Slough (London),4113,2019,49.1,147,3198,1354,42.3,75,7311,3373,46.1,222,,,,,,,,,,,,,,,,,,,,
Southall (London),1498,602,40.2,13,672,252,37.5,3,2170,854,39.4,16,,,,,,,,,,,,,,,,,,,,
Southampton (Maybush),3239,1424,44.0,32,2657,1138,42.8,35,5896,2562,43.5,67,,,,,,,,,,,,,,,,,,,,
Southend-on-Sea,1260,661,52.5,10,1126,485,43.1,7,2386,1146,48.0,17,,,,,,,,,,,,,,,,,,,,
Southport (Liverpool),1865,1020,54.7,25,1737,919,52.9,17,3602,1939,53.8,42,,,,,,,,,,,,,,,,,,,,
Speke (Liverpool),1661,536,32.3,12,1235,416,33.7,5,2896,952,32.9,17,,,,,,,,,,,,,,,,,,,,
St Albans,1695,756,44.6,27,1386,574,41.4,23,3081,1330,43.2,50,,,,,,,,,,,,,,,,,,,,
